"environment","type","flow","state","sharingType","created","lastModified"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","PRUEBA FORMATO FERT","Started","","2024-09-23","2024-09-30"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Periodicidad -> Inicializar variable,Aplicar a cada uno,Obtener ele...","Stopped","","2023-03-22","2023-03-22"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","JM014 - Modelo Datos a Excel Online","Stopped","Coauthor","2024-12-16","2024-12-29"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Auto completar consultas","Stopped","","2026-03-26","2026-04-15"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Consolidar_BPA_Agustino","Stopped","","2025-08-08","2025-08-08"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Objetivos 2026 -  - 8d3b5689-663a-4a43-8541-9f85c8ea0826","Started","DelegatedAuth","2026-06-06","2026-06-06"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Guardar los archivos de Proyectos","Started","","2026-06-23","2026-06-23"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","JM001 - Aviso de ensayos I+D","Started","","2023-06-28","2024-01-25"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Ejecutar un script de Office en Excel y, a continuación, enviar un correo electrónico","Started","","2026-01-05","2026-01-05"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Enviar archivos específicos creados en OneDrive para la Empresa como datos adjuntos de correo electrónico","Stopped","","2025-03-13","2025-03-13"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Enviar correos desde Excel","Started","","2025-06-09","2025-06-09"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ACTUALIZAR OFISMART - BI GASTOS","Stopped","","2024-05-09","2024-05-09"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Usar modelo de procesamiento de formularios para extraer datos de archivos adjuntos de correo electrónico","Started","","2025-02-05","2025-02-05"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Induccion a Terceros V2","Started","","2022-08-24","2022-09-27"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Automatización de Cartas Ofertas","Stopped","DelegatedAuth","2025-01-14","2025-03-27"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Send an email to responder when response submitted in Microsoft Forms","Started","","2022-07-20","2022-07-20"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ApiConnection -> Seleccionar,Crear tabla HTML,Enviar correo electró...","Started","","2023-10-24","2023-10-25"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","OLT MENSUAL 1","Stopped","","2024-11-28","2025-01-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Cuando se crea un elemento -> For each,Enumerar las filas de una ta...","Stopped","","2025-01-13","2025-01-14"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","trad-rag-bot","Stopped","Coauthor","2026-02-08","2026-02-25"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Follow up on a message","Started","","2026-01-29","2026-01-29"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Mantenimiento","Stopped","Coauthor","2024-01-30","2025-01-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Cuando llega un nuevo correo electrónico (V3) -> For each,Obtener d...","Started","","2026-04-28","2026-04-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Excel distribución comercial","Stopped","","2023-06-01","2026-04-09"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","SOC Adhesivos","Stopped","","2022-03-28","2022-03-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","JM003 - Aviso de Problemas - Recordatorio","Stopped","","2024-11-28","2025-08-11"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Induccion a Terceros: Version 3","Stopped","","2022-10-03","2022-10-03"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Inducción de contratistas new V4","Stopped","","2022-10-17","2022-10-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","PDI 2026 - Recordatorio","Stopped","","2026-03-29","2026-04-30"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","T000","Stopped","","2023-10-25","2025-08-11"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","App_QR-Aprobaciones - Modelo a PowerApps","Started","","2025-07-18","2025-07-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","MDGEnvioCorreoDesdeSQL_01","Stopped","","2025-05-09","2025-05-15"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ENVIO DE RENOVACIONES","Stopped","Coauthor","2025-07-16","2026-07-10"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","OLT - Discusión de temas 1","Stopped","","2025-01-07","2025-01-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Button -> Crear una aprobación","Started","","2024-05-18","2024-05-18"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","formulario color centro","Started","","2025-03-11","2026-04-24"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Informe de cierre de turno","Stopped","","2024-02-21","2026-02-11"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Test_Aprobación","Started","Coauthor","2025-08-28","2025-08-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","PA_Flow_PO_Documentation","Started","","2025-09-26","2025-10-29"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","OSLT TRIMESTRAL 4","Stopped","","2025-01-07","2025-01-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","OLT - Discusión de temas 8","Stopped","","2025-01-07","2025-01-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Http -> Respuesta","Suspended","","2026-07-07","2026-07-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","JM015 - Modelo Datos a Excel Online","Stopped","","2024-12-29","2024-12-29"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Aprobaciones con Actualización de Tabla","Started","","2024-05-21","2024-05-24"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","FRACCIONAMIENTO","Started","Coauthor","2026-01-12","2026-05-04"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Adjuntos_v3","Started","","2025-10-17","2025-10-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","JM003 - Aviso de problemas - Registro","Started","","2024-11-28","2025-08-20"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","PowerApp -> Obtener contenido de archivo","Started","","2023-02-15","2023-02-15"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","SaveAttachments2","Started","","2025-10-12","2025-10-20"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Forms a PDF V2","Stopped","","2021-11-24","2021-11-24"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Enviar respuestas de Forms por correo","Stopped","","2025-03-13","2025-03-14"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Pedidos retenidos por bajo peso","Started","","2025-11-28","2026-02-25"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","App_QR-Aprobaciones - ISOO","Started","","2025-11-04","2026-05-18"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","RESERVA SITIOS RAMBLA","Started","","2026-03-25","2026-07-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ARCHIVOS DE CORREO","Stopped","","2021-12-29","2022-01-03"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ADH y PPH","Stopped","","2025-05-08","2025-05-22"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Notificación Tabla completa","Started","","2024-03-29","2024-04-08"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Button -> Obtener contenido de archivo,Enviar correo electrónico (V2)","Started","","2025-10-13","2025-10-13"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","FLUJO DE CAMBIO","Started","","2024-11-11","2024-11-11"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Send myself a reminder in 10 minutes","Started","","2020-08-14","2020-08-14"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Cuotas RGV","Started","","2025-08-26","2026-06-03"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Problemas - Avisos","Stopped","","2023-07-04","2024-11-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Induccion a Terceros: Version 3","Started","","2022-08-29","2022-08-29"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","paword","Started","","2021-04-17","2021-04-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Registro SOS","Stopped","","2022-10-07","2022-10-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Adjuntos_RegistrarFacturas","Started","Coauthor","2025-09-30","2025-10-26"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","MENSAJE TEAMS - MARCIA","Started","Coauthor","2026-06-16","2026-07-02"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Prueba1","Started","","2024-09-13","2024-09-13"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Cuotas Juego de colores","Started","","2025-08-26","2026-06-09"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","SOC - Consolidado Actividades","Started","","2022-05-12","2022-05-12"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","App_QR_Reclamo - Limpiar Temporal","Suspended","","2025-05-22","2025-05-22"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Programar la ejecución de un script de Office en Excel","Stopped","","2025-07-15","2025-08-18"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Cuando llega un nuevo correo electrónico (V3) -> For each,Redactar,...","Started","","2026-04-29","2026-04-30"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","JM012 - Migrar anulados de ensayos I+D","Started","Coauthor","2024-01-24","2024-01-25"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Plásticos","Stopped","Coauthor","2024-02-01","2025-01-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Alerta de NC atrasadas","Stopped","","2026-04-28","2026-05-11"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","fluRegistrarPersona","Started","","2026-07-21","2026-07-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","XPENDIT_Api_Download","Started","","2026-07-20","2026-07-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Solvente","Stopped","Coauthor","2024-02-01","2025-01-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","App_QR-Generar - Codigo","Started","","2025-08-18","2025-08-26"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","crear PDF","Started","","2021-04-22","2021-04-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Copy of - RevEmpCSV_Teams","Started","","2025-08-17","2025-08-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Recurrence -> Enumerar tareas,Aplicar a cada uno","Started","","2025-07-21","2025-07-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Post a message to Microsoft Teams for a selected item","Started","","2025-11-26","2025-11-26"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","OLT - Discusión de temas 4","Stopped","","2025-01-07","2025-01-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Send a digest email of all outstanding Planner tasks","Started","","2024-02-06","2024-02-06"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","SOLVENTE","Started","Coauthor","2026-01-09","2026-05-04"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Inducción de contratistas versión 4","Stopped","","2022-09-02","2022-09-05"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Flujo registro trabajadores","Stopped","","2024-04-05","2024-04-18"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Envío de correo auomático","Suspended","","2025-07-10","2025-07-11"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","App_ID-Bloqueado - LdM","Suspended","","2025-08-27","2025-08-27"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Materia Prima 1","Stopped","Coauthor","2024-01-31","2025-01-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Reunión - Comunicación y seguimiento de cumplimiento","Stopped","","2023-06-01","2025-08-11"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Marino - Recordatorio de carga de OC","Started","","2026-04-11","2026-04-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Guardar datos adjuntos de correo electrónico de Office 365 en OneDrive para la Empresa","Stopped","","2019-09-13","2019-09-13"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Producto Terminado","Stopped","Coauthor","2024-01-31","2025-01-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Trazabilidad contable_B1_B2_Erika","Started","","2026-05-13","2026-07-16"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Brindar accesos - Comedor 2025","Stopped","Coauthor","2024-02-23","2025-07-03"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","FLOW_S07_1809_OVO","Started","","2025-09-19","2025-09-19"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","CORREOS EUROS","Stopped","","2026-07-05","2026-07-19"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Prueba","Suspended","","2025-06-03","2025-06-03"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","SOC - Polvo","Stopped","","2022-03-28","2022-03-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Objetivos 2026 -  - 2f6e01c0-3308-4a8c-926a-f54b3bc38a23","Started","DelegatedAuth","2026-06-06","2026-06-06"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Programar la ejecución de un script de Office en Excel","Suspended","","2025-07-14","2025-07-14"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Untitled roadmap - Untitled row - df08483e-8d5f-ec11-8f8f-000d3a32c4a1","Stopped","DelegatedAuth","2021-12-17","2021-12-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","992 pendientes","Stopped","","2024-02-14","2026-03-05"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Envío de pedidos rechazados por créditos","Started","","2025-07-09","2025-07-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Correo Prueba 1","Started","","2026-07-19","2026-07-19"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","App_QR_Muestra - Copia en tabla alterna","Started","","2025-06-24","2025-06-27"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Forms Back Up Inducción","Stopped","","2022-11-29","2022-11-29"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","CSV to Excel","Suspended","","2025-07-31","2025-07-31"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Cuando se crea o se modifica un elemento -> Obtener elemento","Stopped","","2024-11-28","2024-11-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","AgenteBI_Qroma","Started","","2026-03-26","2026-03-26"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Recurrence -> Eliminar archivo","Stopped","","2021-11-10","2021-11-10"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","JM009 - Conocer campos de Lista Sharepoint","Started","","2023-11-29","2023-11-30"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","SOC AMP ÑAÑA","Stopped","","2022-03-28","2022-03-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Button -> Enumerar las filas de una tabla,Crear tabla HTML,Enviar c...","Started","","2025-07-17","2025-07-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ONBOARDING","Started","","2025-08-23","2025-08-23"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ACTUALIZAR SAP - BI OTS","Started","","2024-05-02","2024-07-24"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","FLOW_S06_OVO_16092025","Suspended","","2025-09-17","2025-09-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","JM011 - Migrar historicos de ensayos I+D","Started","","2024-01-24","2025-05-09"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Informacion de la lista","Started","","2026-05-20","2026-05-20"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Producto Problema - Recordatorio","Stopped","","2023-09-01","2024-12-10"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","App_ID-Actividad - Ensayo","Started","","2025-08-25","2025-08-26"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","DISTRIBUCIÓN","Stopped","","2025-05-07","2025-05-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Registro de Solicitudes Procesos","Stopped","","2026-03-20","2026-04-15"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","FLUJO CARTA RECLAMO","Started","","2022-05-19","2022-05-19"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Evaluación de CVs con IA","Started","Coauthor","2025-07-15","2026-06-05"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","OLT - Discusión de temas 7","Stopped","","2025-01-07","2025-01-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Gran Industria - Recordatorio de carga de OC","Started","","2026-04-11","2026-04-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Inducción de contratistas new V2 ","Stopped","","2022-10-17","2022-10-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Envio Convenio de acumulacion de vacaciones","Started","Coauthor","2025-09-15","2026-04-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ANULAR ENTREGA VEDA","Started","Coauthor","2026-06-19","2026-07-20"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ACUOSO","Stopped","","2025-06-27","2025-06-27"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Get Email","Started","","2026-02-03","2026-03-04"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Transferencia","Stopped","","2025-04-03","2025-04-03"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Flujo de Prueba ","Stopped","","2022-10-05","2022-10-05"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ConsultaEstadoLastMile","Started","","2025-07-23","2025-08-11"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Guias sin calificar","Started","","2024-02-29","2026-03-03"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Brindar accesos - Comedor APT","Stopped","Coauthor","2024-02-23","2025-07-03"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Cuando se envía una respuesta nueva -> Obtener los detalles de la r...","Started","","2026-04-27","2026-04-27"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Cuando se envía una respuesta nueva -> Obtener los detalles de la r...","Started","","2022-08-26","2022-09-16"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Envío de pagos a proveedores","Stopped","","2025-11-24","2025-11-24"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Publicar un mensaje en Microsoft Teams para el archivo seleccionado","Suspended","","2020-09-07","2020-09-07"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Flujo de Lideres","Started","","2024-08-29","2024-08-29"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","despacho color centro","Started","","2025-03-25","2026-04-24"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Cierre de turno - correo T2","Started","","2026-06-27","2026-07-16"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","App_ID-Actividad - Migrar","Started","","2025-09-26","2025-11-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Update trazabilidad","Started","","2025-09-05","2025-09-05"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","App_ID-Actividadac - Registro","Started","","2025-04-08","2025-08-12"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Registro SOS: 2","Stopped","","2022-10-20","2022-10-20"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Enviar respuestas de Forms por correo","Stopped","","2025-03-14","2025-03-14"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","JM030 - Generación Manual de Certificados de Garantía","Started","","2025-01-28","2025-01-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Registro SOS","Stopped","","2022-03-28","2022-09-09"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ValidaEmpleados","Started","Coauthor","2025-08-09","2026-07-10"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Guarda adjunto de correos con asunto ""plan""","Stopped","","2026-03-02","2026-03-11"
"PE_RRHH_BIENESTAR_PRD_US","Production","Flujo del desencadenador de la API de búsqueda integrada","Stopped","","2026-07-16","2026-07-16"
"PE_RRHH_BIENESTAR_PRD_US","Production","Buscar flujo de artículo de conocimientos de Dynamics 365","Stopped","","2026-07-16","2026-07-16"
"PE_RRHH_BIENESTAR_PRD_US","Production","SLAInstanceMonitoringWarningAndExpiryFlow","Stopped","","2026-07-16","2026-07-16"
"P02-Revisión Salarial","Sandbox","Revisión Salarial","Started","","2025-10-07","2025-12-15"
